20110401;229.1000000
20110404;235.9800000
20110405;238.4600000
20110406;239.0900000
20110407;238.3000000
20110408;239.6700000
20110411;243.5100000
20110412;240.7000000
20110413;236.1700000
20110414;234.6400000
20110415;228.6300000
20110418;227.7000000
20110419;221.2200000
20110420;227.4000000
20110421;233.1100000
20110422;235.3500000
20110425;238.0300000
20110426;232.7300000
20110427;234.2500000
20110428;235.0100000
20110429;230.7400000
20110503;231.0200000
20110504;222.1000000
20110505;213.6100000
20110506;206.3200000
20110510;210.6800000
20110511;215.2700000
20110512;208.2100000
20110513;204.0100000
20110516;199.2800000
20110517;198.6100000
20110518;200.9000000
20110519;203.3000000
20110520;202.0000000
20110523;194.9900000
20110524;191.3400000
20110525;193.4400000
20110526;198.1700000
20110527;196.6900000
20110530;201.8000000
20110531;205.2200000
20110601;205.4200000
20110602;200.6700000
20110603;201.4000000
20110606;196.5000000
20110607;195.5700000
20110608;204.0000000
20110609;207.6600000
20110610;211.0000000
20110614;210.6000000
20110615;208.3700000
20110616;203.5700000
20110617;203.4900000
20110620;199.2900000
20110621;200.6700000
20110622;201.5500000
20110623;200.7600000
20110624;200.0000000
20110627;198.5100000
20110628;197.4500000
20110629;199.7700000
20110630;202.2200000
20110701;203.5600000
20110704;205.9000000
20110705;204.4400000
20110706;204.1000000
20110707;203.3000000
20110708;207.1100000
20110711;204.3000000
20110712;200.6100000
20110713;202.0600000
20110714;201.7700000
20110715;200.1900000
20110718;201.3600000
20110719;198.9700000
20110720;201.1800000
20110721;200.8200000
20110722;204.3300000
20110725;200.8900000
20110726;201.2100000
20110727;201.6000000
20110728;199.6100000
20110729;200.5100000
20110801;202.5100000
20110802;201.6000000
20110803;198.8000000
20110804;194.5500000
20110805;180.1100000
20110808;175.3100000
20110809;162.8800000
20110810;170.5000000
20110811;161.5400000
20110812;166.3900000
20110815;171.6000000
20110816;172.4700000
20110817;171.6600000
20110818;172.9400000
20110819;166.2500000
20110822;166.9000000
20110823;170.3500000
20110824;170.6400000
20110825;173.7100000
20110826;171.8000000
20110829;174.8000000
20110830;178.2500000
20110831;178.2400000
20110901;177.8900000
20110902;175.1200000
20110905;169.2500000
20110906;167.9200000
20110907;171.0300000
20110908;174.3700000
20110909;174.1100000
20110912;166.1400000
20110913;167.0400000
20110914;163.0000000
20110915;168.1600000
20110916;167.7300000
20110919;163.4000000
20110920;163.2900000
20110921;165.8000000
20110922;161.5000000
20110923;151.1000000
20110926;148.7000000
20110927;157.9700000
20110928;155.4200000
20110929;153.5800000
20110930;158.1100000
20111003;152.4400000
20111004;151.9200000
20111005;148.1100000
20111006;144.8500000
20111007;152.2300000
20111010;151.9700000
20111011;154.8800000
20111012;152.5000000
20111013;160.5600000
20111014;159.5100000
20111017;164.3200000
20111018;158.3200000
20111019;163.0100000
20111020;160.8400000
20111021;163.3000000
20111024;167.0700000
20111025;169.7000000
20111026;167.7000000
20111027;181.0300000
20111028;187.2000000
20111031;183.1000000
20111101;176.9000000
20111102;175.9000000
20111103;180.3500000
20111107;184.0500000
20111108;183.6000000
20111109;184.8900000
20111110;178.4000000
20111111;184.5500000
20111114;184.9500000
20111115;182.7000000
20111116;184.4200000
20111117;187.2000000
20111118;181.0000000
20111121;177.9700000
20111122;170.0500000
20111123;167.0000000
20111124;167.3400000
20111125;165.3300000
20111128;168.0800000
20111129;172.9800000
20111130;170.3000000
20111201;176.1100000
20111202;183.0000000
20111205;183.8500000
20111206;183.0000000
20111207;176.4900000
20111208;175.9900000
20111209;173.9900000
20111212;172.5000000
20111213;163.9300000
20111214;165.6600000
20111215;162.5100000
20111216;172.0900000
20111219;168.3700000
20111220;165.8500000
20111221;173.4800000
20111222;169.8900000
20111223;171.5200000
20111226;170.5900000
20111227;171.4000000
20111228;170.1200000
20111229;168.7700000
20111230;170.9000000
20120103;172.5300000
20120104;177.5500000
20120105;177.0100000
20120106;177.0000000
20120109;175.9500000
20120110;177.9200000
20120111;178.8600000
20120112;178.4800000
20120113;178.3000000
20120116;177.4500000
20120117;179.6700000
20120118;181.3200000
20120119;183.8500000
20120120;186.0500000
20120123;183.4000000
20120124;183.7000000
20120125;184.4000000
20120126;186.9700000
20120127;184.5000000
20120130;181.6300000
20120131;183.0000000
20120201;183.0000000
20120202;186.3000000
20120203;187.0000000
20120206;189.9000000
20120207;190.1700000
20120208;189.3300000
20120209;189.2000000
20120210;187.9100000
20120213;189.2000000
20120214;191.6400000
20120215;192.9900000
20120216;190.1400000
20120217;191.9000000
20120220;191.0700000
20120221;190.9800000
20120222;189.3000000
20120224;188.6400000
20120227;193.0700000
20120228;194.3000000
20120229;192.4000000
20120301;192.6500000
20120302;194.7400000
20120305;195.8900000
20120306;198.6700000
20120307;192.2500000
20120311;196.5700000
20120312;196.7700000
20120313;198.3000000
20120314;199.5500000
20120315;197.9900000
20120316;199.3000000
20120319;197.8600000
20120320;191.4000000
20120321;186.5000000
20120322;185.0500000
20120323;182.0000000
20120326;183.2000000
20120327;185.7500000
20120328;182.0000000
20120329;179.7700000
20120330;179.3500000
20120402;182.2000000
